PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,2.000000,0.015599,10.096717
55.0000,2.000000,0.018047,9.644664
60.0000,2.000000,0.021007,9.251262
65.0000,2.000000,0.024737,8.904941
70.0000,2.000000,0.028496,8.597092
75.0000,2.000000,0.032033,8.321153
80.0000,2.000000,0.035928,8.072028
85.0000,2.000000,0.039681,7.845691
90.0000,2.000000,0.044751,7.638911
95.0000,2.000000,0.049737,7.449062
100.0000,2.000000,0.054478,7.273988
105.0000,2.000000,0.059400,7.111895
110.0000,2.000000,0.064187,6.961281
115.0000,2.000000,0.068991,6.820874
120.0000,2.000000,0.073825,6.689592
125.0000,2.000000,0.078707,6.566505
130.0000,2.000000,0.083838,6.450812
135.0000,2.000000,0.088775,6.341815
140.0000,2.000000,0.093141,6.238906
145.0000,2.000000,0.097263,6.141551
150.0000,2.000000,0.100738,6.049278
155.0000,2.000000,0.103908,5.961670
160.0000,2.000000,0.106186,5.878356
165.0000,2.000000,0.107716,5.799005
170.0000,2.000000,0.108481,5.723321
175.0000,2.000000,0.108051,5.651036
180.0000,2.000000,0.107258,5.581910
185.0000,2.000000,0.106295,5.515726
190.0000,2.000000,0.105335,5.452287
195.0000,2.000000,0.104535,5.391413
200.0000,2.000000,0.104174,5.332941
205.0000,2.000000,0.104305,5.276722
210.0000,2.000000,0.104874,5.222619
215.0000,2.000000,0.106360,5.170507
220.0000,2.000000,0.108129,5.120270
225.0000,2.000000,0.109853,5.071802
230.0000,2.000000,0.111807,5.025005
235.0000,2.000000,0.114104,4.979789
240.0000,2.000000,0.116458,4.936069
245.0000,2.000000,0.118789,4.893767
250.0000,2.000000,0.121300,4.852812
255.0000,2.000000,0.123947,4.813135
260.0000,2.000000,0.126457,4.774673
265.0000,2.000000,0.128866,4.737370
270.0000,2.000000,0.131200,4.701168
275.0000,2.000000,0.133395,4.666018
280.0000,2.000000,0.134081,4.631871
285.0000,2.000000,0.122121,4.598683
290.0000,2.000000,0.134680,4.566411
295.0000,2.000000,0.140063,4.535014
300.0000,2.000000,0.144451,4.504457
305.0000,2.000000,0.148507,4.474704
310.0000,2.000000,0.152458,4.445721
315.0000,2.000000,0.156304,4.417478
320.0000,2.000000,0.159969,4.389944
325.0000,2.000000,0.163504,4.363092
330.0000,2.000000,0.166970,4.336895
335.0000,2.000000,0.170398,4.311328
340.0000,2.000000,0.173813,4.286368
345.0000,2.000000,0.177254,4.261991
350.0000,2.000000,0.180840,4.238177
355.0000,2.000000,0.184437,4.214906
360.0000,2.000000,0.187902,4.192157
365.0000,2.000000,0.191208,4.169912
370.0000,2.000000,0.194397,4.148154
375.0000,2.000000,0.197519,4.126867
380.0000,2.000000,0.200599,4.106034
385.0000,2.000000,0.203643,4.085640
390.0000,2.000000,0.206657,4.065671
395.0000,2.000000,0.209661,4.046112
400.0000,2.000000,0.212714,4.026951
405.0000,2.000000,0.215818,4.008176
410.0000,2.000000,0.218817,3.989773
415.0000,2.000000,0.221685,3.971732
420.0000,2.000000,0.224409,3.954040
425.0000,2.000000,0.227041,3.936689
430.0000,2.000000,0.229607,3.919667
435.0000,2.000000,0.232113,3.902965
