PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.882210,0.037098,11.039870
55.0000,4.656857,0.040930,10.525498
60.0000,4.460078,0.045856,10.076914
65.0000,4.286305,0.052454,9.681194
70.0000,4.131377,0.058635,9.328708
75.0000,3.992119,0.063814,9.012117
80.0000,3.866055,0.069513,8.725715
85.0000,3.751226,0.074526,8.464991
90.0000,3.646055,0.082218,8.226322
95.0000,3.549261,0.089293,8.006767
100.0000,3.459789,0.095467,7.803901
105.0000,3.376758,0.101705,7.615713
110.0000,3.299432,0.107376,7.440514
115.0000,3.227185,0.112831,7.276876
120.0000,3.159486,0.118117,7.123580
125.0000,3.095876,0.123285,6.979581
130.0000,3.035959,0.128711,6.843976
135.0000,2.979392,0.133608,6.715979
140.0000,2.925873,0.137376,6.594906
145.0000,2.875138,0.140646,6.480153
150.0000,2.826954,0.142804,6.371189
155.0000,2.781114,0.144469,6.267543
160.0000,2.737435,0.144776,6.168796
165.0000,2.695750,0.144029,6.074574
170.0000,2.655914,0.142278,5.984542
175.0000,2.617793,0.138967,5.898398
180.0000,2.581267,0.135366,5.815869
185.0000,2.546229,0.131752,5.736711
190.0000,2.512581,0.128358,5.660699
195.0000,2.480232,0.125367,5.587631
200.0000,2.449101,0.123111,5.517321
205.0000,2.419113,0.121613,5.449601
210.0000,2.390201,0.120763,5.384314
215.0000,2.362301,0.121110,5.321319
220.0000,2.335356,0.121838,5.260484
225.0000,2.309313,0.122540,5.201689
230.0000,2.284121,0.123538,5.144823
235.0000,2.259737,0.124950,5.089782
240.0000,2.236117,0.126435,5.036470
245.0000,2.213223,0.127901,4.984799
250.0000,2.191018,0.129573,4.934687
255.0000,2.169468,0.131396,4.886056
260.0000,2.148541,0.133070,4.838835
265.0000,2.128209,0.134637,4.792957
270.0000,2.108443,0.136129,4.748360
275.0000,2.089218,0.137483,4.704985
280.0000,2.070510,0.137278,4.662778
285.0000,2.052295,0.124109,4.621686
290.0000,2.034552,0.136199,4.581662
295.0000,2.017262,0.140859,4.542660
300.0000,2.000406,0.144470,4.504638
305.0000,1.983965,0.147721,4.467554
310.0000,1.967922,0.150844,4.431372
315.0000,1.952263,0.153844,4.396054
320.0000,1.936972,0.156651,4.361568
325.0000,1.922034,0.159318,4.327881
330.0000,1.907437,0.161909,4.294962
335.0000,1.893168,0.164454,4.262784
340.0000,1.879214,0.166978,4.231318
345.0000,1.865564,0.169519,4.200539
350.0000,1.852207,0.172185,4.170421
355.0000,1.839133,0.174851,4.140943
360.0000,1.826332,0.177389,4.112081
365.0000,1.813795,0.179778,4.083814
370.0000,1.801512,0.182059,4.056122
375.0000,1.789476,0.184277,4.028986
380.0000,1.777678,0.186458,4.002387
385.0000,1.766110,0.188607,3.976308
390.0000,1.754764,0.190731,3.950733
395.0000,1.743635,0.192847,3.925645
400.0000,1.732715,0.195007,3.901028
405.0000,1.721998,0.197210,3.876869
410.0000,1.711477,0.199324,3.853154
415.0000,1.701146,0.201330,3.829868
420.0000,1.691000,0.203218,3.806999
425.0000,1.681034,0.205036,3.784536
430.0000,1.671242,0.206804,3.762465
435.0000,1.661619,0.208529,3.740776
440.0000,1.652160,0.210211,3.719458
445.0000,1.642862,0.211880,3.698500
450.0000,1.633718,0.213543,3.677892
455.0000,1.624725,0.215202,3.657626
460.0000,1.615879,0.216769,3.637690
465.0000,1.607177,0.218282,3.618077
470.0000,1.598613,0.219736,3.598778
475.0000,1.590185,0.221127,3.579784
480.0000,1.581888,0.222482,3.561088
485.0000,1.573720,0.223795,3.542682
490.0000,1.565678,0.225065,3.524559
495.0000,1.557757,0.226304,3.506711
500.0000,1.549956,0.227506,3.489131
505.0000,1.542270,0.228679,3.471813
510.0000,1.534698,0.229827,3.454750
515.0000,1.527236,0.230944,3.437936
520.0000,1.519882,0.232029,3.421366
525.0000,1.512633,0.233077,3.405033
530.0000,1.505487,0.234090,3.388931
535.0000,1.498441,0.235077,3.373056
540.0000,1.491493,0.236030,3.357402
545.0000,1.484641,0.236959,3.341964
550.0000,1.477883,0.237861,3.326737
555.0000,1.471216,0.238741,3.311716
560.0000,1.464638,0.239601,3.296896
565.0000,1.458148,0.240452,3.282274
570.0000,1.451744,0.241288,3.267845
575.0000,1.445423,0.242096,3.253604
580.0000,1.439184,0.242881,3.239548
585.0000,1.433025,0.243633,3.225673
590.0000,1.426944,0.244364,3.211974
595.0000,1.420940,0.245070,3.198449
600.0000,1.415012,0.245757,3.185093
605.0000,1.409156,0.246423,3.171902
610.0000,1.403373,0.247074,3.158875
615.0000,1.397661,0.247709,3.146006
620.0000,1.392018,0.248332,3.133294
625.0000,1.386443,0.248943,3.120734
630.0000,1.380934,0.249549,3.108324
635.0000,1.375490,0.250151,3.096061
640.0000,1.370110,0.250766,3.083943
645.0000,1.364793,0.251398,3.071965
650.0000,1.359537,0.252069,3.060126
655.0000,1.354341,0.252821,3.048422
660.0000,1.349205,0.253546,3.036852
665.0000,1.344126,0.254220,3.025413
670.0000,1.339105,0.254848,3.014102
675.0000,1.334139,0.255397,3.002917
680.0000,1.329228,0.255910,2.991855
685.0000,1.324371,0.256372,2.980915
690.0000,1.319567,0.256818,2.970094
695.0000,1.314815,0.257222,2.959390
700.0000,1.310114,0.257607,2.948801
705.0000,1.305463,0.257969,2.938324
710.0000,1.300861,0.258306,2.927959
715.0000,1.296307,0.258626,2.917702
720.0000,1.291801,0.258908,2.907553
725.0000,1.287341,0.259181,2.897509
730.0000,1.282927,0.259416,2.887568
735.0000,1.278559,0.259641,2.877729
740.0000,1.274235,0.259848,2.867989
745.0000,1.269954,0.260044,2.858348
750.0000,1.265716,0.260225,2.848804
755.0000,1.261521,0.260394,2.839354
760.0000,1.257366,0.260550,2.829998
765.0000,1.253253,0.260695,2.820733
770.0000,1.249180,0.260828,2.811560
775.0000,1.245146,0.260952,2.802475
780.0000,1.241151,0.261067,2.793477
785.0000,1.237194,0.261183,2.784566
790.0000,1.233275,0.261309,2.775739
795.0000,1.229392,0.261447,2.766996
800.0000,1.225547,0.261588,2.758335
805.0000,1.221737,0.261738,2.749755
810.0000,1.217962,0.261875,2.741254
815.0000,1.214222,0.261989,2.732832
820.0000,1.210517,0.262069,2.724486
825.0000,1.206845,0.262136,2.716217
830.0000,1.203206,0.262188,2.708023
835.0000,1.199600,0.262227,2.699902
840.0000,1.196026,0.262256,2.691854
845.0000,1.192484,0.262276,2.683878
850.0000,1.188974,0.262287,2.675972
855.0000,1.185494,0.262290,2.668135
860.0000,1.182044,0.262287,2.660367
865.0000,1.178625,0.262302,2.652666
870.0000,1.175235,0.262347,2.645032
875.0000,1.171874,0.262416,2.637464
880.0000,1.168542,0.262499,2.629960
885.0000,1.165238,0.262606,2.622519
890.0000,1.161961,0.262720,2.615142
895.0000,1.158713,0.262806,2.607826
900.0000,1.155491,0.262815,2.600572
905.0000,1.152296,0.262816,2.593377
910.0000,1.149128,0.262812,2.586242
915.0000,1.145985,0.262772,2.579166
920.0000,1.142868,0.262724,2.572147
925.0000,1.139777,0.262666,2.565186
930.0000,1.136710,0.262596,2.558280
935.0000,1.133668,0.262518,2.551430
940.0000,1.130651,0.262430,2.544635
945.0000,1.127657,0.262339,2.537894
950.0000,1.124687,0.262248,2.531206
955.0000,1.121740,0.262159,2.524571
960.0000,1.118816,0.262079,2.517987
965.0000,1.115915,0.261994,2.511455
970.0000,1.113037,0.261903,2.504973
975.0000,1.110181,0.261800,2.498542
980.0000,1.107346,0.261691,2.492159
985.0000,1.104533,0.261558,2.485826
990.0000,1.101742,0.261417,2.479540
995.0000,1.098971,0.261267,2.473302
1000.0000,1.096222,0.261113,2.467110
