PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
100.0000,1.639624,0.378153,3.691203
105.0000,1.600146,0.385462,3.602233
110.0000,1.563389,0.391022,3.519401
115.0000,1.529054,0.397799,3.442033
120.0000,1.496886,0.403874,3.369552
125.0000,1.466666,0.409357,3.301465
130.0000,1.438206,0.414354,3.237346
135.0000,1.411341,0.418132,3.176823
140.0000,1.385927,0.421258,3.119573
145.0000,1.361838,0.423857,3.065310
150.0000,1.338964,0.425870,3.013784
155.0000,1.317204,0.426701,2.964771
160.0000,1.296472,0.426955,2.918075
165.0000,1.276689,0.426693,2.873518
170.0000,1.257785,0.425967,2.830941
175.0000,1.239697,0.430315,2.790203
180.0000,1.222367,0.429006,2.751174
185.0000,1.205744,0.427398,2.713738
190.0000,1.189781,0.425619,2.677790
195.0000,1.174436,0.423538,2.643234
200.0000,1.159670,0.421216,2.609982
205.0000,1.145447,0.418693,2.577955
210.0000,1.131735,0.415975,2.547078
215.0000,1.118504,0.413204,2.517284
220.0000,1.105727,0.410264,2.488513
225.0000,1.093377,0.407016,2.460705
230.0000,1.081432,0.403551,2.433810
235.0000,1.069871,0.399926,2.407778
240.0000,1.058672,0.396039,2.382563
245.0000,1.047818,0.391803,2.358124
250.0000,1.037291,0.387302,2.334423
255.0000,1.027075,0.382355,2.311422
260.0000,1.017155,0.376575,2.289087
265.0000,1.007517,0.369413,2.267388
270.0000,0.998148,0.359778,2.246295
275.0000,0.989035,0.344262,2.225779
280.0000,0.980168,0.297058,2.205816
285.0000,0.971535,0.112879,2.186380
290.0000,0.963126,0.197953,2.167449
295.0000,0.954932,0.223562,2.149001
300.0000,0.946943,0.236009,2.131017
305.0000,0.939152,0.243695,2.113476
310.0000,0.931550,0.248834,2.096362
315.0000,0.924129,0.252361,2.079657
320.0000,0.916883,0.254790,2.063345
325.0000,0.909805,0.256427,2.047411
330.0000,0.902888,0.257462,2.031840
335.0000,0.896127,0.258032,2.016620
340.0000,0.889515,0.258219,2.001736
345.0000,0.883048,0.258108,1.987177
350.0000,0.876719,0.257748,1.972931
355.0000,0.870525,0.257172,1.958988
360.0000,0.864460,0.256408,1.945336
365.0000,0.858520,0.255488,1.931965
370.0000,0.852701,0.254451,1.918866
375.0000,0.846999,0.253337,1.906030
380.0000,0.841410,0.252214,1.893449
385.0000,0.835930,0.251036,1.881113
390.0000,0.830555,0.249765,1.869015
395.0000,0.825283,0.248402,1.857148
400.0000,0.820110,0.246973,1.845504
405.0000,0.815033,0.245474,1.834076
410.0000,0.810049,0.243922,1.822858
415.0000,0.805156,0.242326,1.811843
420.0000,0.800350,0.240692,1.801026
425.0000,0.795629,0.239021,1.790400
430.0000,0.790991,0.237326,1.779960
435.0000,0.786433,0.235615,1.769700
440.0000,0.781953,0.233885,1.759616
445.0000,0.777548,0.232138,1.749702
450.0000,0.773218,0.230388,1.739954
455.0000,0.768958,0.228635,1.730367
460.0000,0.764769,0.226864,1.720937
465.0000,0.760647,0.225097,1.711660
470.0000,0.756591,0.223332,1.702530
475.0000,0.752599,0.221560,1.693546
480.0000,0.748670,0.219798,1.684702
485.0000,0.744801,0.218046,1.675995
490.0000,0.740992,0.216306,1.667422
495.0000,0.737241,0.214580,1.658979
500.0000,0.733547,0.212857,1.650663
505.0000,0.729907,0.211143,1.642471
510.0000,0.726321,0.209440,1.634399
515.0000,0.722787,0.207743,1.626446
520.0000,0.719304,0.206061,1.618607
525.0000,0.715871,0.204389,1.610881
530.0000,0.712487,0.202728,1.603264
535.0000,0.709151,0.201084,1.595755
540.0000,0.705861,0.199447,1.588349
545.0000,0.702616,0.197828,1.581047
550.0000,0.699415,0.196221,1.573843
555.0000,0.696258,0.194628,1.566738
560.0000,0.693144,0.193049,1.559728
565.0000,0.690070,0.191485,1.552811
570.0000,0.687037,0.189936,1.545985
575.0000,0.684044,0.188401,1.539248
580.0000,0.681090,0.186880,1.532599
585.0000,0.678174,0.185374,1.526035
590.0000,0.675294,0.183881,1.519555
595.0000,0.672451,0.182404,1.513157
600.0000,0.669644,0.180941,1.506839
