PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.000000,0.029600,10.677247
55.0000,4.000000,0.034111,10.250560
60.0000,4.000000,0.039901,9.881079
65.0000,4.000000,0.047647,9.557406
70.0000,4.000000,0.055371,9.271068
75.0000,4.000000,0.062355,9.015622
80.0000,4.000000,0.070249,8.786069
85.0000,4.000000,0.077757,8.578463
90.0000,4.000000,0.088908,8.389646
95.0000,4.000000,0.099715,8.217054
100.0000,4.000000,0.109733,8.058583
105.0000,4.000000,0.120285,7.912490
110.0000,4.000000,0.130488,7.777311
115.0000,4.000000,0.140467,7.651816
120.0000,4.000000,0.150423,7.534953
125.0000,4.000000,0.160402,7.425825
130.0000,4.000000,0.171031,7.323656
135.0000,4.000000,0.181026,7.227775
140.0000,4.000000,0.189102,7.137595
145.0000,4.000000,0.196290,7.052604
150.0000,4.000000,0.201316,6.972349
155.0000,4.000000,0.205380,6.896431
160.0000,4.000000,0.206591,6.824494
165.0000,4.000000,0.205430,6.756222
170.0000,4.000000,0.201946,6.691334
175.0000,4.000000,0.194860,6.629574
180.0000,4.000000,0.187233,6.570714
185.0000,4.000000,0.179448,6.514549
190.0000,4.000000,0.172025,6.460892
195.0000,4.000000,0.165406,6.409573
200.0000,4.000000,0.160264,6.360438
205.0000,4.000000,0.156611,6.313346
210.0000,4.000000,0.154225,6.268170
215.0000,4.000000,0.154147,6.224790
220.0000,4.000000,0.154716,6.183099
225.0000,4.000000,0.155219,6.142998
230.0000,4.000000,0.156292,6.104395
235.0000,4.000000,0.158143,6.067206
240.0000,4.000000,0.160117,6.031351
245.0000,4.000000,0.162072,5.996760
250.0000,4.000000,0.164464,5.963364
255.0000,4.000000,0.167201,5.931101
260.0000,4.000000,0.169754,5.899913
265.0000,4.000000,0.172322,5.869746
270.0000,4.000000,0.175130,5.840550
275.0000,4.000000,0.178454,5.812277
280.0000,4.000000,0.181701,5.784884
285.0000,4.000000,0.184359,5.758328
290.0000,4.000000,0.186730,5.732572
295.0000,4.000000,0.188953,5.707579
300.0000,4.000000,0.191080,5.683315
305.0000,4.000000,0.193106,5.659748
310.0000,4.000000,0.195973,5.636848
315.0000,4.000000,0.198425,5.614586
320.0000,4.000000,0.200468,5.592935
325.0000,4.000000,0.202204,5.571870
330.0000,4.000000,0.203759,5.551368
335.0000,4.000000,0.205184,5.531406
340.0000,4.000000,0.206527,5.511961
345.0000,4.000000,0.207859,5.493015
350.0000,4.000000,0.209417,5.474547
355.0000,4.000000,0.210912,5.456540
360.0000,4.000000,0.212046,5.438976
365.0000,4.000000,0.212768,5.421838
370.0000,4.000000,0.213163,5.405112
375.0000,4.000000,0.213329,5.388783
380.0000,4.000000,0.213303,5.372835
385.0000,4.000000,0.213119,5.357256
390.0000,4.000000,0.212807,5.342033
395.0000,4.000000,0.212409,5.327154
400.0000,4.000000,0.212028,5.312606
405.0000,4.000000,0.211655,5.298380
410.0000,4.000000,0.211005,5.284464
415.0000,4.000000,0.210042,5.270847
420.0000,4.000000,0.208757,5.257521
425.0000,4.000000,0.207253,5.244476
430.0000,4.000000,0.205577,5.231703
435.0000,4.000000,0.203743,5.219194
440.0000,4.000000,0.201760,5.206940
445.0000,4.000000,0.199690,5.194933
450.0000,4.000000,0.197542,5.183166
455.0000,4.000000,0.195325,5.171633
460.0000,4.000000,0.192873,5.160325
465.0000,4.000000,0.190264,5.149236
470.0000,4.000000,0.187500,5.138360
475.0000,4.000000,0.184581,5.127691
480.0000,4.000000,0.181558,5.117222
485.0000,4.000000,0.178428,5.106949
490.0000,4.000000,0.175195,5.096865
495.0000,4.000000,0.171884,5.086966
500.0000,4.000000,0.168494,5.077246
505.0000,4.000000,0.165044,5.067700
510.0000,4.000000,0.161543,5.058324
515.0000,4.000000,0.157987,5.049113
520.0000,4.000000,0.154377,5.040063
525.0000,4.000000,0.150714,5.031170
530.0000,4.000000,0.147007,5.022429
535.0000,4.000000,0.143273,5.013837
540.0000,4.000000,0.139507,5.005390
545.0000,4.000000,0.135729,4.997084
550.0000,4.000000,0.131936,4.988915
555.0000,4.000000,0.128143,4.980881
560.0000,4.000000,0.124354,4.972977
565.0000,4.000000,0.120588,4.965201
570.0000,4.000000,0.116840,4.957550
