PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.000000,0.028735,9.015622
70.0000,4.000000,0.051235,7.912490
90.0000,4.000000,0.090890,7.227775
110.0000,4.000000,0.126491,6.756222
130.0000,4.000000,0.153302,6.409573
150.0000,4.000000,0.160885,6.142998
170.0000,4.000000,0.151738,5.931101
190.0000,4.000000,0.142559,5.758328
210.0000,4.000000,0.131110,5.614586
230.0000,4.000000,0.130951,5.493015
250.0000,4.000000,0.133153,5.388783
270.0000,4.000000,0.130204,5.298380
290.0000,4.000000,0.112810,5.219194
310.0000,4.000000,0.113117,5.149236
330.0000,4.000000,0.107053,5.086966
350.0000,4.000000,0.098492,5.031170
370.0000,4.000000,0.088568,4.980881
390.0000,4.000000,0.078562,4.935314
410.0000,4.000000,0.069276,4.893830
430.0000,4.000000,0.056391,4.855898
450.0000,4.000000,0.043794,4.821080
470.0000,4.000000,0.032114,4.789003
490.0000,4.000000,0.021817,4.759355
510.0000,4.000000,0.013404,4.731868
530.0000,4.000000,0.007158,4.706313
550.0000,4.000000,0.003518,4.682493
570.0000,4.000000,0.002391,4.660235
590.0000,4.000000,0.003631,4.639390
610.0000,4.000000,0.007394,4.619827
630.0000,4.000000,0.012291,4.601431
650.0000,4.000000,0.018940,4.584100
670.0000,4.000000,0.026587,4.567743
690.0000,4.000000,0.034561,4.552282
710.0000,4.000000,0.042282,4.537643
730.0000,4.000000,0.049422,4.523763
750.0000,4.000000,0.055749,4.510584
770.0000,4.000000,0.061085,4.498054
790.0000,4.000000,0.065243,4.486126
810.0000,4.000000,0.067005,4.474757
830.0000,4.000000,0.069441,4.463910
850.0000,4.000000,0.069683,4.453549
870.0000,4.000000,0.067926,4.443641
890.0000,4.000000,0.064455,4.434159
910.0000,4.000000,0.059579,4.425074
930.0000,4.000000,0.053671,4.416362
950.0000,4.000000,0.047046,4.408001
970.0000,4.000000,0.040027,4.399970
990.0000,4.000000,0.032936,4.392250
