PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.000000,0.030899,9.015622
70.0000,4.000000,0.054824,7.912490
90.0000,4.000000,0.095575,7.227775
110.0000,4.000000,0.132145,6.756222
130.0000,4.000000,0.163161,6.409573
150.0000,4.000000,0.171902,6.142998
170.0000,4.000000,0.161996,5.931101
190.0000,4.000000,0.152722,5.758328
210.0000,4.000000,0.142802,5.614586
230.0000,4.000000,0.142818,5.493015
250.0000,4.000000,0.145281,5.388783
270.0000,4.000000,0.142057,5.298380
290.0000,4.000000,0.122981,5.219194
310.0000,4.000000,0.123116,5.149236
330.0000,4.000000,0.116223,5.086966
350.0000,4.000000,0.106533,5.031170
370.0000,4.000000,0.095280,4.980881
390.0000,4.000000,0.083831,4.935314
410.0000,4.000000,0.073159,4.893830
430.0000,4.000000,0.059563,4.855898
450.0000,4.000000,0.046025,4.821080
470.0000,4.000000,0.033429,4.789003
490.0000,4.000000,0.022322,4.759355
510.0000,4.000000,0.013259,4.731868
530.0000,4.000000,0.006559,4.706313
550.0000,4.000000,0.002660,4.682493
570.0000,4.000000,0.001402,4.660235
590.0000,4.000000,0.002683,4.639390
610.0000,4.000000,0.006798,4.619827
630.0000,4.000000,0.012706,4.601431
650.0000,4.000000,0.020345,4.584100
670.0000,4.000000,0.029145,4.567743
690.0000,4.000000,0.038371,4.552282
710.0000,4.000000,0.047368,4.537643
730.0000,4.000000,0.055752,4.523763
750.0000,4.000000,0.063247,4.510584
770.0000,4.000000,0.069617,4.498054
790.0000,4.000000,0.074586,4.486126
810.0000,4.000000,0.076459,4.474757
830.0000,4.000000,0.077364,4.463910
850.0000,4.000000,0.076974,4.453549
870.0000,4.000000,0.074524,4.443641
890.0000,4.000000,0.070281,4.434159
910.0000,4.000000,0.064596,4.425074
930.0000,4.000000,0.057905,4.416362
950.0000,4.000000,0.050580,4.408001
970.0000,4.000000,0.043001,4.399970
990.0000,4.000000,0.035550,4.392250
