PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
2000.0000,2.629540,0.004563,5.144624
2100.0000,2.448100,0.004568,4.961197
2200.0000,2.283980,0.004590,4.794725
2300.0000,2.131030,0.004635,4.641171
2400.0000,1.995470,0.004673,4.502446
2500.0000,1.867790,0.004732,4.373386
2600.0000,1.750770,0.004807,4.254533
2700.0000,1.643310,0.004880,4.144752
2800.0000,1.544570,0.004971,4.043105
2900.0000,1.453770,0.005066,3.948757
3000.0000,1.366270,0.005191,3.859574
3100.0000,1.285560,0.005325,3.776467
3200.0000,1.215170,0.005436,3.700191
3300.0000,1.146730,0.005579,3.627590
3400.0000,1.079970,0.005758,3.558399
3500.0000,1.018620,0.005935,3.493542
3600.0000,0.962540,0.006100,3.432693
3700.0000,0.911590,0.006245,3.375550
3800.0000,0.857730,0.006478,3.319779
3900.0000,0.812960,0.006623,3.268380
4000.0000,0.769360,0.006762,3.219113
4100.0000,0.731060,0.006881,3.172826
4200.0000,0.694300,0.006967,3.128480
4300.0000,0.659400,0.007048,3.086044
4400.0000,0.626790,0.007094,3.045504
4500.0000,0.597070,0.007101,3.006872
4600.0000,0.571000,0.007064,2.970181
4700.0000,0.545580,0.007016,2.934753
4800.0000,0.522150,0.006931,2.900773
4900.0000,0.502510,0.006823,2.868476
5000.0000,0.484960,0.006668,2.837477
5100.0000,0.468880,0.006533,2.807605
5200.0000,0.454880,0.006361,2.778906
5300.0000,0.443100,0.006164,2.751347
5400.0000,0.427100,0.005990,2.723859
5500.0000,0.419100,0.005750,2.698338
5600.0000,0.407100,0.005459,2.672865
5700.0000,0.407100,0.004975,2.649860
5800.0000,0.403100,0.004498,2.626840
5900.0000,0.379100,0.004258,2.601401
6000.0000,0.331100,0.004298,2.573476
